FID,district,community,facility,fac_name,type,ownership,functional,lat,long,source,source_geo,dhis2_id,geo_date,comments,x,y
872,Kono,Jaiama,Jaiama CHC,Jaiama,CHC,Government,Functional,8.551571,-11.08614,DPPI,GPS,PBonjj0VR8v,2021, ,-11.0861399995613,8.55157099970194
873,Kono,Njala,Njala CHC,Njala,CHC,Government,Functional,8.573315,-11.05383,SARA,GPS,u1y9gcGfcFe,2017, ,-11.0538299997546,8.57331499968751
874,Kono,Sunga,Sunga MCHP,Sunga,MCHP,Government,Functional,8.451211,-10.91931,DPPI,GPS,kzrEfKibgCJ,2016, ,-10.9193099998566,8.45121100038739
875,Kono,Kamiendor,Kamiendor CHC,Kamiendor,CHC,Government,Functional,8.683133,-10.51487,DPPI,GPS,rsuif6J74aG,2016, ,-10.5148700000504,8.68313299988807
876,Kono,Tombodu,Tombodu CHC,Tombodu,CHC,Government,Functional,8.70208,-11.01219,DPPI,GPS,MaJYVQnriqv,2016, ,-11.0121899995688,8.70208000039173
877,Kono,Gbetema,Gbetema MCHP,Gbetema,MCHP,Government,Functional,8.604,-10.8173,WHO,GPS,aFhr8pIIiVR,2019, ,-10.8172999999949,8.60400000009997
878,Kono,Manjama,Manjama CHC,Manjama,CHC,Government,Functional,8.610138,-10.6971,DPPI,GPS,kt8HBONbwlN,2016, ,-10.6971000003647,8.61013799986887
879,Kono,Bandasuma,Bandasuma CHP,Bandasuma,CHP,Government,Functional,8.6966,-10.7983,WHO,GPS,uGjmcf7MpD0,2019, ,-10.7982999997452,8.69660000038976
880,Kono,Kainkordu,Kainkordu CHC,Kainkordu,CHC,Government,Functional,8.617107,-10.7208,DPPI,GPS,a7rMl4nrSEU,2016, ,-10.7207999997202,8.61710700018796
881,Kono,Komba Yendeh,Komba Yendeh CHC,Komba Yendeh,CHC,Government,Functional,8.786426,-10.70887,DPPI,GPS,qHBHGHURBTP,2016, ,-10.7088699999505,8.78642599956027
882,Kono,Sambaya,Sambaya CHP,Sambaya,CHP,Government,Functional,8.72793,-10.50622,NEMS,GPS,ax6JAED6TnV,2015, ,-10.5062199995533,8.72792999996955
883,Kono,Gbamandu,Gbamandu MCHP,Gbamandu,MCHP,Government,Functional,8.642617,-10.66897,DPPI,GPS,ZJyy70p9b7u,2016, ,-10.6689699999655,8.64261700027441
884,Kono,Boroma,Boroma CHP,Boroma,CHP,Government,Functional,8.666946,-10.945579,DPPI,GPS,OjUmGpjcg3y,2016, ,-10.9455789998709,8.66694599985806
885,Kono,Dorma,Well Body Clinic,Well Body,CLINIC,Government,Functional,8.65977,-10.96079,NEMS,GPS,kSLcEBVJFgO,2015, ,-10.9607899998585,8.65976999988561
886,Kono,Small Sefadu,Small Sefadu CHP,Small Sefadu,CHP,Government,Functional,8.652334,-10.9994,DPPI,GPS,kuo7tFJ2EDi,2016, ,-10.9993999997102,8.65233399961443
887,Kono,Fembedu,Fembedu CHP,Fembedu,CHP,Government,Functional,8.49744,-10.8319,NEMS,GPS,sUzJ5pX4euk,2015, ,-10.8318999996852,8.4974399999561
888,Kono,Gandorhun,Gandorhun CHC,Gandorhun,CHC,Government,Functional,8.436597,-10.86669,DPPI,GPS,XJT8rYu39Lo,2016, ,-10.8666899996437,8.43659700005156
889,Kono,Seidu,Seidu MCHP,Seidu,MCHP,Government,Functional,8.728093,-11.09688,DPPI,GPS,ADOmjElVEss,2016, ,-11.0968800002118,8.72809300029178
